name,phone,all_mobiles,number_type,stars,area,website
Bizz Tamanna Hotel,9055675713,9055675713;6499289771,mobile,,,https://tamannahotels.com/bizz-tamanna-hotel-hinjawadi-pune/
Cocoon Hotel,6880210595,6880210595;8897399999;6880209607;8784202119;8550303999;9563506294;8768881138;9259999999;7934299999;8719161999;6880211946;6952955450;8999999937;9697911202;8492605365;8277391587;7999999161;8531831188;9256622488;8645724955;6864911208;7069020886;8999999920;6055989024;9999999303;9501208861;7697064469,mobile,,Pune,https://www.cocoonpune.com/
Deccan Pavilion,6595965959,6595965959;7463847412,mobile,,,http://www.deccanpavilion.com/
Eastin Easy Aishwarya Talegaon,6626517677,6626517677;8352287547;9994923006;7457822538;7767156266;6668152131;9139000266;9000095695;9568660003;6695685600;9000846846;9600329499;6001923781;9363472651,mobile,,Pune,https://www.eastinhotelsresidences.com/eastineasyaishwaryatalegaon/
FabExpress SRH,6731823762,6731823762;8066341571,mobile,,Pune,https://www.fabhotels.com/?source=google&medium=ppc&campaignid=1751436608&adgroupid=67318237623&device=c&keyword=fabhotels
FabHotels FabExpress The Corporate Hub,7661323151,7661323151;7042424242;7410762884;7410762885;7467938493;7410763085;8112005134;7661315815;8112004355;6666666666;8112005444;8541666666;9021305054;7410763798;8112005493;8112005440;7410762130;8120701111;7410763974;8012796678;8012800963;9021305030;7467939391;8112004350;7661316523;8112005503;7987000790;8112004273;8112004403;8012868622;8120702305;7410763377;8112005473;7465383248;8112005541;7468075696;8112004374;8112005505;8112005373;8112005531;8012946678;7468082348;7468075534;7986934091;7986961244;7986977670;7410762608;8112004022;8112004011;7410763313;7467940271;6490609441;7410763084;7467939464;7661315816;7190439689;7666660766;8545030006;8548921003;7369008210;9696570864;7666418766;7936701471;7333351523;8438338373;8981003383;9861115611;8144906094;8317232787;7061851316;7666666666;7350021181;9450021181;8152200008;9411121119;9660112519;6626610057;7662364250;9559551100;7351851316;7620300044;9449400048;7232726248;7563000018;8192716051;6259176825;6435570864;6839212201;7528624277;9054272261;8531336701;7240021181;6915729157;7220400211;8110400211;8176670748;8838200011;6503207021;7053400211;6553400211;9454963427;8711871101;9711871110;8961579250;7204976471;6014218538;6411005215;6114745710;8431500211;7083164174;8383972000;8855144012;6259171417;9393976471;8310114174;8438340006;8661010033;8438473438;9483976471;8106460005;9215639447;8858036701;9584328086;8034370004;7766666043;8214186123;9132791364;8973670147;8766492108;6987231000;6666666668;7662765252;6261703630;8211229551;9044500211;6259156825;7105911200;9414940004;8310168256;9325613166;7347936701;7271381380;9030503120;8800493643;6864746012;6831311000;6000033600;6667668927;7284500031;8352169635;9344440000;9887648930;7661011033;7340021181;7226868210;6168646124;8581371116;8346413375;8062670147;6394413249;7330452213;8464939764;8532200044;8656800002;8755101007;7083186825;6058826701;6259154174;7062807410;8889736701;9631336701;7915132316;6927808282;6185131667,mobile,,,https://www.fabhotels.com/hotels-in-pune/fabexpress-the-corporate-hub-giyeqqqp.html
Grand Tamanna Hotel,7335947571,7335947571,mobile,,,https://tamannahotels.com/hotels-hinjawadi-pune/
Hotel Sheetal,8615355219,8615355219;7265355202;7725301109,mobile,,Pune,https://hotelsheetal.net
Hotel Shreyas,9850903953,9850903953;8380096528;8221355202;8256900838;6913552020;9183800965;7726989139;9309058919;8362735206,mobile,,Ganeshwadi,https://www.hotelshreyas.in/
Lemon Tree Hotel,8020359027,8020359027;8737688723;6655947098;9331374267;8697975318;9521723278;7886737853;6342593114;6115476247;7168135797;7979681245;6890749556,mobile,,,https://www.lemontreehotels.com/lemon-tree-hotel/pune/hinjawadi-pune.aspx
