name,phone,type,area,stars,website
Alive,+919850838308,apartment,,,http://www.nimaniconstructions.com
Amruta Ladies hostel,08408862882,hostel,pune,,
Asraya PG,9028818464,hostel,,,
Bizz Tamanna Hotel,+91 020 6653 9888,hotel,,,https://tamannahotels.com/bizz-tamanna-hotel-hinjawadi-pune/
CherryBerry PG Services,+91 703 824 9914,hostel,,,
Cocoon Hotel,+91 20 6624 4444,hotel,Pune,,https://www.cocoonpune.com/
Conrad Pune,+91-20-67456745,hotel,Pune,5,https://www.hilton.com/en/hotels/pnqcici-conrad-pune/
Courtyard Marriott,+91-21-3566-6666,hotel,,,
Courtyard Marriott Hinjawadi,+91 20 4212 2005,hotel,Pune,,https://www.marriott.com/en-us/hotels/pnqph-courtyard-pune-hinjewadi/overview/
Deccan Pavilion,02066834567,hotel,,,http://www.deccanpavilion.com/
DoubleTree by Hilton Hotel Pune - Chinchwad,+91 20 67313333,hotel,Pune,,https://www.hilton.com/en/hotels/pnqchdi-doubletree-pune-chinchwad/
Eastin Easy Aishwarya Talegaon,+91 2114 667777,hotel,Pune,,https://www.eastinhotelsresidences.com/eastineasyaishwaryatalegaon/
Fairfield by Marriott Pune Kharadi,+91 20 6712 1515,hotel,,,
Four Points by Sheraton,91 20-67606699,hotel,Viman Nagar,,https://www.marriott.com/en-us/hotels/pnqfp-four-points-by-sheraton-hotel-and-serviced-apartments-pune/overview/
Ganga Bhagyoday,02041420000,apartment,,,
High Bliss,02024104020,apartment,,,http://ujwalhomes.com/
Hilton Garden Inn,+91 20 3500 4500,hotel,Pune,,https://www.hilton.com/en/hotels/pnqhpgi-hilton-garden-inn-pune-hinjawadi
Holiday Inn Express Pune Pimpri,20-66354444,hotel,Pune,,https://www.ihg.com/holidayinnexpress/hotels/us/en/pune-pimpri/pnqpp/hoteldetail
Hotel Kohinoor Residency,+91 81218 68181;+91 97669 98005,hotel,,,
Hotel Sheetal,+91 20 2553 5165;+91 20 2553 5627;+91 20 2553 5168;+91 20 2553 5149,hotel,Pune,,https://hotelsheetal.net
Hotel Shreyas,020-25532023;020 -25532785,hotel,Ganeshwadi,,https://www.hotelshreyas.in/
Hotel Yellow House,+91 76339 47633,hotel,,,
Hyatt Pune,+91 20 4141 1234,hotel,Pune,,https://www.hyatt.com/hyatt-hotels/en-US/pnqhy-hyatt-pune
JW Marriott,+912066833333,hotel,pune,,https://www.marriott.com/
Kohinoor PG,+919850111113,hostel,Pune,,
Lemon Tree Premier Pune,+91 020 67684343,hotel,,,https://www.lemontreehotels.com/lemon-tree-premier/pune/city-center-pune.aspx
MVPM Baner Boys Hostel,+91 98810 60565,hostel,,,https://www.mvpm.org/
Madhushalini Boys Hostel,+917775972681,hostel,,,
Marriott Suites Pune,+912067257777,hotel,Pune,,
Paradise Homestay - Lodging and Boarding in Pune,+919060604029,guest_house,Pune,,https://paradisehomestaypune.com/
Royal Chinese Centre,+91 99603 62619,hotel,,,
Royal Orchid Central,+91 20 4000 3000,hotel,Pune,,http://www.royalorchidhotels.com
SOFT Girls Hostel,020 6683 3700,hostel,Narhe,,
Sai Garuda PG,+91 78430 79876;+91 70382 28856,hostel,,,
"Saihyadri Girls Hostel, Sinhgad Institute of Technology and Scinece",9974982202,hostel,Pune,,saihyadrigirlshostel
Shree Venkatapadmavati PG Men and Women,+91 77759 52348;+91 99708 40722,hostel,,,
Shri Samarth Snacks Centre,+91 83907 80820,hotel,,,
Smita PG,+91 97672 22333; +91 95450 22111,hostel,,,
Sunshine Paradise PG,+91 88569 69771,hostel,,,
Swagat Luxury Lodging,+919860745456,hotel,,,
The Corinthians Club,+91 20 2695 2222,hotel,Pune,5,https://www.thecorinthianspune.com/
The Highstreet Legacy,+91 90901 68989;+91 90907 68989,hotel,,,
The Orchid,+91 91691 66789,hotel,,,https://www.orchidhotel.com/pune/
Travotale Hostel and CoWork,+91 20 6743 0104,hostel,,,
Venky PG,8007016425,hostel,,,
Vivanta,+91 20 6658 4040,hotel,,,https://www.vivantahotels.com/en-in/vivanta-pune-hinjawadi/
"Vivanta By Taj - Blue Diamond, Pune",+91 20 66025555,hotel,Koregaon Park,,https://www.vivantabytaj.com/Blue-Diamond-Pune/Overview.html
Westin,+91 20 6721 0000,hotel,Pune,,
lover spot hotal,8484048462,hotel,Pune,,https://loverrestrobar.com
vineta bhal,9623899592,hotel,Pune,,https://vinetaandharshcornar.com
yuvi and akaza,9623899592,hotel,Pune,,yuvikolarresto@gmail.com
57. Lorraine.,N/A,guest_house,Pune,,
AQUARIUS Resort & Lawns,N/A,hotel,Pune,,
Aarusha Homes,N/A,hostel,Pune,,
Aashirwad Complex,N/A,apartment,,,
Abdul Kalam Hostel (OBH),N/A,hostel,,,
Advait Biryani,N/A,hotel,,,
Alankapuri Boys Hostel,N/A,hostel,,,
Ambience,N/A,hotel,,,
Ambrai lodge,N/A,hotel,,,
